x,y
-7.381613850372697,3.149232979620577
-7.380803244014069,3.1509500067636798
-7.379995839057649,3.1526596841354
-7.379191567767396,3.154362157112109
-7.378390362839955,3.156057567759976
-7.377592159788304,3.157746055945712
-7.376796894209569,3.159427758210512
-7.37600450458186,3.1611028090634243
-7.3752149293431355,3.1627713397666866
-7.37442810956402,3.164433479569114
-7.373643986610147,3.1660893547468674
-7.372862504574973,3.1677390897328577
-7.372083607275356,3.169382805860373
-7.3713072415228424,3.1710206228531157
-7.370533353677842,3.172652657378426
-7.369761892399619,3.174279024304097
-7.368992806716566,3.175899835916338
-7.36822604867603,3.177515203127514
-7.367461569446841,3.17912523382713
-7.36669932245463,3.1807300343094336
-7.365939261370924,3.1823297084414714
-7.365181342784265,3.1839243588828148
-7.364425522298178,3.1855140854298396
-7.363671757971191,3.1870989865679284
-7.362920007776809,3.1886791584072887
-7.362170231641823,3.190254695625643
-7.3614223890967985,3.191825690481916
-7.36067644275614,3.1933922343843686
-7.3599323544932,3.1949544162622123
-7.359190088332694,3.196512323873485
-7.358449607953013,3.198066042753422
-7.357710879101846,3.1996156573172176
-7.356973867176314,3.2011612498372886
-7.356238539569785,3.2027029015111856
-7.355504863317992,3.204240691470922
-7.354772807712799,3.205774697964558
-7.354042341123204,3.2073049970028973
-7.35331343366582,3.208831663564445
-7.352586055284149,3.2103547707893814
-7.351860177731842,3.2118743908874396
-7.351135772352807,3.2133905941961585
-7.350412812351918,3.2149034502083262
-7.3496912702311645,3.216413026488133
-7.34897112134534,3.217919390254674
-7.348252339633031,3.2194226065472895
-7.347534900985861,3.220922739731169
-7.346818780606244,3.222419852371611
-7.346103955514832,3.2239140063612926
-7.345390402022201,3.2254052618415336
-7.344678098195851,3.2268936783155944
-7.3439670213866775,3.2283793135878134
-7.343257149906667,3.229862224532002
-7.3425484619888115,3.2313424666584183
-7.341840938055708,3.2328200951346835
-7.34113455731263,3.2342951633209207
-7.340429299946374,3.235767723755812
-7.339725146062575,3.2372378277214837
-7.339022077361751,3.2387055259963593
-7.338320074655934,3.2401708677942533
-7.337619120889011,3.241633902109271
-7.336919197697263,3.243094676234126
-7.336220287947251,3.2445532368929704
-7.335522373937593,3.2460096294769243
-7.334825440387,3.247463899372644
-7.334129470429084,3.2489160902318144
-7.333434448802517,3.2503662453871685
-7.332740359267422,3.251814406741467
-7.3320471864318355,3.2532606155894745
-7.331354914007653,3.2547049118750553
-7.330663527592303,3.2561473354231385
-7.329973011787273,3.257587924700602
-7.329283352739675,3.2590267179439696
-7.328594536115393,3.260463752296549
-7.327906548883911,3.2618990646011214
-7.327219376814717,3.263332690325095
-7.326533006488317,3.2647646644562034
-7.3258474245811405,3.266195021206765
-7.325162618255731,3.267623794200445
-7.3244785740457745,3.26905101600142
-7.3237952807196764,3.270476719380356
-7.3231127253933295,3.271900935632606
-7.322430896695797,3.2733236959753107
-7.321749782784966,3.274745030695972
-7.32106937211635,3.2761649695025286
-7.320389652520482,3.2775835411350656
-7.319710613325547,3.279000774304116
-7.319032243437061,3.280416696871424
-7.318354531203074,3.281831335799757
-7.317677464987648,3.283244717416242
-7.317001036108602,3.28465686871067
-7.316325233616623,3.2860678150670255
-7.315650047251968,3.287477581564884
-7.314975466908467,3.288886192762735
-7.314301483369152,3.2902936730253196
-7.313628086275693,3.291700045652316
-7.3129552659145824,3.2931053336678837
-7.312283012749728,3.294509559628159
-7.311611317364594,3.2959127456069828
-7.310940169718943,3.297314912881493
-7.310269561251466,3.2987160828627187
-7.30959948222983,3.3001162759459453
-7.308929924399317,3.3015155126799214
-7.308260879014249,3.3029138129151834
-7.307592337417712,3.3043111960676717
-7.306924291106408,3.305707681156415
-7.306256732479916,3.307103287138525
-7.305589652701248,3.3084980319881785
-7.304923043592136,3.3098919335295665
-7.304256897111887,3.3112850092190413
-7.303591205327528,3.3126772761390817
-7.302925959634993,3.314068750671692
-7.30226115217681,3.3154594491224922
-7.301596775197809,3.316849387445554
-7.300932821864837,3.3182385816088282
-7.3002692848260065,3.3196270469762745
-7.299606157666956,3.3210147989476324
-7.298943432683253,3.3224018519990093
-7.29828110213088,3.323788220233084
-7.297619158914547,3.325173917683241
-7.296957596944605,3.326558958480112
-7.296296409522585,3.327943356153138
-7.295635590924458,3.3293271243256073
-7.294975134145805,3.330710275743495
-7.294315033653609,3.3320928234750467
-7.2936552826249,3.333474779720004
-7.292995875051216,3.3348561567264423
-7.292336804168297,3.3362369661195896
